,tweet_id,Names,dog_gender,timestamp,date,time,source,text,jpg_url,img_num,favorite_count,retweet_count,dog_count,rating,dog_stage,Breed,Confidence_level,Weekday
1973,869702957897576449,Stanley,Male,2017-05-30 23:51:58,2017-05-30 00:00:00,23:51,Twitter for iPhone,Meet Stanley. He likes road trips. Will shift for you. One ear more effective than other. 13/10 we don't leave until you buckle pup Stanley https://t.co/vmCu3PFCQq,https://pbs.twimg.com/media/DBHOOfOXoAABKlU.jpg,1,0,0,1.0,13.0,None,Pembroke,0.993449,Tuesday
1971,869227993411051520,Gizmo,Male,2017-05-29 16:24:37,2017-05-29 00:00:00,16:24,Twitter for iPhone,This is Gizmo. His favorite thing is standing pupright like a hooman. Sneaky tongue slip status achieved. 13/10 would boop well https://t.co/IoR3n1fiiQ,https://pbs.twimg.com/media/DBAePiVXcAAqHSR.jpg,1,20850,3943,1.0,13.0,None,Pembroke,0.664181,Monday
1970,868880397819494401,Walter,Male,2017-05-28 17:23:24,2017-05-28 00:00:00,17:23,Twitter for iPhone,This is Walter. He won't start hydrotherapy without his favorite floatie. 14/10 keep it pup Walter https://t.co/r28jFx9uyF,https://pbs.twimg.com/media/DA7iHL5U0AA1OQo.jpg,1,0,0,1.0,14.0,None,French_bulldog,0.0999839,Sunday
1969,868622495443632128,Dogwithnoname,Unknown,2017-05-28 00:18:35,2017-05-28 00:00:00,00:18,Twitter for iPhone,Here's a h*ckin peaceful boy. Unbothered by the comings and goings. 13/10 please reveal your wise ways https://t.co/yeaH8Ej5eM,https://pbs.twimg.com/media/DA33i0XXsAEQtCA.jpg,1,27943,6161,1.0,13.0,None,Labrador_retriever,0.868107,Sunday
1968,868552278524837888,Cooper,Male,2017-05-27 19:39:34,2017-05-27 00:00:00,19:39,Twitter for iPhone,"Say hello to Cooper. His expression is the same wet or dry. Absolute 12/10 but Coop desperately requests your help

https://t.co/ZMTE4Mr69f https://t.co/7RyeXTYLNi",https://pbs.twimg.com/media/DA23sCeVoAE3uF0.jpg,1,10393,2187,1.0,12.0,None,whippet,0.378151,Saturday
1967,867900495410671616,Dogwithnoname,Unknown,2017-05-26 00:29:37,2017-05-26 00:00:00,00:29,Twitter for iPhone,"Unbelievable. We only rate dogs. Please don't send in non-canines like the ""I"" from Pixar's opening credits. Thank you... 12/10 https://t.co/JMhDNv5wXZ",https://pbs.twimg.com/media/DAtm5MkXoAA4R6P.jpg,1,24688,4359,1.0,12.0,None,Labrador_retriever,0.522644,Friday
1966,867774946302451713,Harold,Male,2017-05-25 16:10:44,2017-05-25 00:00:00,16:10,Twitter for iPhone,Meet Harold.  He's h*ckin cooperative. 13/10 good work Harold https://t.co/ZYg3NZGICa,https://pbs.twimg.com/media/DAr0tDZXUAEMvdu.jpg,2,0,0,1.0,13.0,None,Border_collie,0.661953,Thursday
1964,867072653475098625,Dogwithnoname,Unknown,2017-05-23 17:40:04,2017-05-23 00:00:00,17:40,Twitter for iPhone,RT @rachaeleasler: these @dog_rates hats are 13/10 bean approved https://t.co/nRCdq4g9gG,https://pbs.twimg.com/media/DAElHfmUMAEH9lB.jpg,1,0,0,1.0,13.0,None,Blenheim_spaniel,0.352946,Tuesday
1963,867051520902168576,Dogwithnoname,Unknown,2017-05-23 16:16:06,2017-05-23 00:00:00,16:16,Twitter for iPhone,"Oh my this spooked me up. We only rate dogs, not happy ghosts. Please send dogs only. It's a very simple premise. Thank you... 13/10 https://t.co/M5Rz0R8SIQ",https://pbs.twimg.com/media/DAhiwb0XcAA8x5Q.jpg,1,33000,8255,1.0,13.0,None,Samoyed,0.471403,Tuesday
1962,866686824827068416,Lili,Female,2017-05-22 16:06:55,2017-05-22 00:00:00,16:06,Twitter for iPhone,This is Lili. She can't believe you betrayed her with bath time. Never looking you in the eye again. 12/10 would puppologize profusely https://t.co/9b9J46E86Z,https://pbs.twimg.com/media/DAcXEWuXkAIBDGJ.jpg,1,19829,3653,1.0,12.0,None,flat-coated_retriever,0.51473,Monday
1975,870063196459192321,Clifford,Male,2017-05-31 23:43:25,2017-05-31 00:00:00,23:43,Twitter for iPhone,Meet Clifford. He's quite large. Also red. Good w kids. Somehow never steps on them. Massive poops very inconvenient. Still 14/10 would ride https://t.co/apVOyDgOju,https://pbs.twimg.com/media/DBMV3NnXUAAm0Pp.jpg,1,0,0,1.0,14.0,None,NaN,0.0,Wednesday
1994,874057562936811520,Dogwithnoname,Unknown,2017-06-12 00:15:36,2017-06-12 00:00:00,00:15,Twitter for iPhone,"I can't believe this keeps happening. This, is a birb taking a bath. We only rate dogs. Please only send dogs. Thank you... 12/10 https://t.co/pwY9PQhtP2",https://pbs.twimg.com/media/DCFGtdoXkAEsqIw.jpg,1,22883,4059,1.0,12.0,None,flat-coated_retriever,0.832177,Monday
2024,881666595344535552,Gary,Male,2017-07-03 00:11:11,2017-07-03 00:00:00,00:11,Twitter for iPhone,This is Gary. He couldn't miss this puppertunity for a selfie. Flawless focusing skills. 13/10 would boop intensely https://t.co/7CSWCl8I6s,https://pbs.twimg.com/media/DDxPFwbWAAEbVVR.jpg,1,50995,10909,1.0,13.0,None,Saluki,0.529012,Monday
2022,881268444196462592,Elliot,Male,2017-07-01 21:49:04,2017-07-01 00:00:00,21:49,Twitter for iPhone,Meet Elliot. He's a Canadian Forrest Pup. Unusual number of antlers for a dog. Sneaky tongue slip to celebrate #Canada150. 12/10 would pet https://t.co/cgwJwowTMC,https://pbs.twimg.com/media/DDrk-f9WAAI-WQv.jpg,1,23255,5251,1.0,12.0,None,NaN,0.0,Saturday
2021,880935762899988482,Louis,Male,2017-06-30 23:47:07,2017-06-30 00:00:00,23:47,Twitter for iPhone,This is Louis. He's crossing. It's a big deal. 13/10 h*ckin breathtaking https://t.co/D0wb1GlKAt,https://pbs.twimg.com/media/DDm2Z5aXUAEDS2u.jpg,1,0,0,1.0,13.0,None,NaN,0.0,Friday
2020,880872448815771648,Dogwithnoname,Unknown,2017-06-30 19:35:32,2017-06-30 00:00:00,19:35,Twitter for iPhone,Ugh not again. We only rate dogs. Please don't send in well-dressed  floppy-tongued street penguins. Dogs only please. Thank you... 12/10 https://t.co/WiAMbTkDPf,https://pbs.twimg.com/media/DDl8zzJW0AAisCJ.jpg,1,21488,3909,1.0,12.0,None,Pembroke,0.791416,Friday
2019,880465832366813184,Bella,Female,2017-06-29 16:39:47,2017-06-29 00:00:00,16:39,Twitter for iPhone,This is Bella. She had her first beach experience this morning. Complete success. 12/10 would perform a sandy boop https://t.co/4VsFysDmiw,https://pbs.twimg.com/media/DDgK-J4XUAIEV9W.jpg,1,28762,6413,1.0,12.0,None,golden_retriever,0.913255,Thursday
2018,880221127280381952,Jesse,Male,2017-06-29 00:27:25,2017-06-29 00:00:00,00:27,Twitter for iPhone,Meet Jesse. He's a Fetty Woof. His tongue ejects without warning. A true bleptomaniac. 12/10 would snug well https://t.co/fUod0tVmvK,https://pbs.twimg.com/media/DDcscbXU0AIfDzs.jpg,1,27319,4329,1.0,12.0,None,Chihuahua,0.238525,Thursday
2017,880095782870896641,Dogwithnoname,Unknown,2017-06-28 16:09:20,2017-06-28 00:00:00,16:09,Twitter for iPhone,Please don't send in photos without dogs in them. We're not @porch_rates. Insubordinate and churlish. Pretty good porch tho 11/10 https://t.co/HauE8M3Bu4,https://pbs.twimg.com/media/DDa6ckbXgAAM1vV.jpg,1,0,0,1.0,11.0,None,miniature_pinscher,0.120298,Wednesday
2016,879862464715927552,Romeo,Male,2017-06-28 00:42:13,2017-06-28 00:00:00,00:42,Twitter for iPhone,This is Romeo. He would like to do an entrance. Requesting your immediate assistance. 13/10 https://t.co/Qh5aEkRQm9,https://pbs.twimg.com/media/DDXmPrbWAAEKMvy.jpg,3,22461,3574,1.0,13.0,None,basset,0.813507,Wednesday
2015,879492040517615616,Bailey,Male,2017-06-27 00:10:17,2017-06-27 00:00:00,00:10,Twitter for iPhone,This is Bailey. He thinks you should measure ear length for signs of growth instead. 12/10 https://t.co/IxM9IMKQq8,https://pbs.twimg.com/media/DDSVWMvXsAEgmMK.jpg,1,23598,3256,1.0,12.0,None,German_short-haired_pointer,0.479896,Tuesday
2014,879415818425184262,Duddles,Male,2017-06-26 19:07:24,2017-06-26 00:00:00,19:07,Twitter for iPhone,This is Duddles. He did an attempt. 13/10 someone help him (vid by Georgia Felici) https://t.co/UDT7ZkcTgY,https://pbs.twimg.com/ext_tw_video_thumb/879415784908390401/pu/img/cX7XI1TnUsseGET5.jpg,1,0,0,1.0,13.0,None,English_springer,0.383404,Monday
2013,879376492567855104,Jack,Male,2017-06-26 16:31:08,2017-06-26 00:00:00,16:31,Twitter for iPhone,This is Jack AKA Stephen Furry. You're not scoring on him. Unless he slips down the slide. 12/10 would happily get blocked by https://t.co/0gOi601EAa,https://pbs.twimg.com/media/DDQsQGFV0AAw6u9.jpg,1,16901,3178,1.0,12.0,None,Labrador_retriever,0.0334961,Monday
2012,879050749262655488,Steven,Male,2017-06-25 18:56:45,2017-06-25 00:00:00,18:56,Twitter for iPhone,This is Steven. He has trouble relating to other dogs. Quite shy. Neck longer than average. Tropical probably. 11/10 would still pet https://t.co/2mJCDEJWdD,https://pbs.twimg.com/media/DDMD_phXoAQ1qf0.jpg,1,22780,4825,1.0,11.0,None,NaN,0.0,Sunday
2011,879008229531029506,Beau,Male,2017-06-25 16:07:47,2017-06-25 00:00:00,16:07,Twitter for iPhone,This is Beau. That is Beau's balloon. He takes it everywhere. 13/10 would protect at all costs https://t.co/YDtpCjIPKN,https://pbs.twimg.com/media/DDLdUrqXYAMOVzY.jpg,1,0,0,1.0,13.0,None,vizsla,0.960513,Sunday
2009,878281511006478336,Shadow,Male,2017-06-23 16:00:04,2017-06-23 00:00:00,16:00,Twitter for iPhone,"Meet Shadow. In an attempt to reach maximum zooming borkdrive, he tore his ACL. Still 13/10 tho. Help him out below

https://t.co/245xJJElsY https://t.co/lUiQH219v6",https://pbs.twimg.com/media/DDBIX9QVYAAohGa.jpg,1,7829,1325,1.0,13.0,None,basset,0.32042,Friday
2008,878057613040115712,Emmy,Female,2017-06-23 01:10:23,2017-06-23 00:00:00,01:10,Twitter for iPhone,This is Emmy. She was adopted today. Massive round of pupplause for Emmy and her new family. 14/10 for all involved https://t.co/cwtWnHMVpe,https://pbs.twimg.com/media/DC98vABUIAA97pz.jpg,1,42402,7015,1.0,14.0,None,French_bulldog,0.839097,Friday
2007,877736472329191424,Aja,Female,2017-06-22 03:54:17,2017-06-22 00:00:00,03:54,Twitter for iPhone,This is Aja. She was just told she's a good dog. Suspicions confirmed. 13/10 would tell again https://t.co/lsPyyAiF1r,https://pbs.twimg.com/media/DC5YqoQW0AArOLH.jpg,2,80750,19654,1.0,13.0,None,Chesapeake_Bay_retriever,0.837956,Thursday
2005,877556246731214848,Penny,Female,2017-06-21 15:58:08,2017-06-21 00:00:00,15:58,Twitter for iPhone,This is Penny. She's both pupset and fired pup. Not pleased w your barbaric attempts at cleanliness. 12/10 would enjoy more shampoo options https://t.co/OYdDlfOGXP,https://pbs.twimg.com/media/DC20wEcW0AAf59m.jpg,1,23004,3913,1.0,12.0,None,basset,0.995368,Wednesday
2004,877316821321428993,Dante,Male,2017-06-21 00:06:44,2017-06-21 00:00:00,00:06,Twitter for iPhone,"Meet Dante. At first he wasn't a fan of his new raincoat, then he saw his reflection. H*ckin handsome. 13/10 for water resistant good boy https://t.co/SHRTIo5pxc",https://pbs.twimg.com/media/DCza_vtXkAQXGpC.jpg,1,0,0,1.0,13.0,None,Saluki,0.509967,Wednesday
2003,877201837425926144,Nelly,Male,2017-06-20 16:29:50,2017-06-20 00:00:00,16:29,Twitter for iPhone,This is Nelly. He graduated with his dogtorate today. Wants to know if you're proud of him. 12/10 would give congratulatory boop https://t.co/4g4cfj3P4Y,https://pbs.twimg.com/media/DCxyahJWsAAddSC.jpg,1,27391,5731,1.0,12.0,None,Pembroke,0.93112,Tuesday
2001,876484053909872640,Benedict,Male,2017-06-18 16:57:37,2017-06-18 00:00:00,16:57,Twitter for iPhone,This is Benedict. He wants to thank you for this delightful urban walk. Hopes you know he loves you. 13/10 super duper good boy https://t.co/26BXueUgbs,https://pbs.twimg.com/media/DCnll_dUQAAkBdG.jpg,1,18944,2466,1.0,13.0,None,golden_retriever,0.874566,Sunday
2000,876120275196170240,Venti,Female,2017-06-17 16:52:05,2017-06-17 00:00:00,16:52,Twitter for iPhone,"Meet Venti, a seemingly caffeinated puppoccino. She was just informed the weekend would include walks, pats and scritches. 13/10 much excite https://t.co/ejExJFq3ek",https://pbs.twimg.com/media/DCiavj_UwAAcXep.jpg,1,28158,4805,1.0,13.0,None,Bernese_mountain_dog,0.534327,Saturday
1999,875747767867523072,Goose,Male,2017-06-16 16:11:53,2017-06-16 00:00:00,16:11,Twitter for iPhone,"This is Goose. He's a womanizer. Cheeky as h*ck, but also deep. Tongue slip game on another level. 13/10 will steal your girl https://t.co/V2WlACRJCN",https://pbs.twimg.com/media/DCdH8YpUQAAiEbL.jpg,1,25451,4403,1.0,13.0,None,Labrador_retriever,0.799551,Friday
1998,875144289856114688,Nugget,Unknown,2017-06-15 00:13:52,2017-06-15 00:00:00,00:13,Twitter for iPhone,Meet Nugget and Hank. Nugget took Hank's bone. Hank is wondering if you would please return it to him. Both 13/10 would not intervene https://t.co/ogith9ejNj,https://pbs.twimg.com/ext_tw_video_thumb/875144175078957056/pu/img/BRi_l7vUdpb93Knf.jpg,1,22134,5043,1.0,13.0,None,Siberian_husky,0.245048,Thursday
1997,875021211251597312,Dogwithnoname,Unknown,2017-06-14 16:04:48,2017-06-14 00:00:00,16:04,Twitter for iPhone,Guys please stop sending pictures without any dogs in th- oh never mind hello excuse me sir. 12/10 stealthy as h*ck https://t.co/brCQoqc8AW,https://pbs.twimg.com/media/DCSzF3NVoAAPzT4.jpg,2,25732,4819,1.0,12.0,None,West_Highland_white_terrier,0.714319,Wednesday
1996,874680097055178752,Cash,Male,2017-06-13 17:29:20,2017-06-13 00:00:00,17:29,Twitter for iPhone,Meet Cash. He hath acquired a stick. A very good stick tbh. 12/10 would pat head approvingly https://t.co/lZhtizkURD,https://pbs.twimg.com/media/DCN85nGUwAAzG_q.jpg,1,28148,4764,1.0,12.0,None,Labrador_retriever,0.836052,Tuesday
1960,866334964761202691,Coco,Female,2017-05-21 16:48:45,2017-05-21 00:00:00,16:48,Twitter for iPhone,This is Coco. At first I thought she was a cloud but clouds don't bork with such passion. 12/10 would hug softly https://t.co/W86h5dgR6c,https://pbs.twimg.com/media/DAXXDQNXgAAoYQH.jpg,1,0,0,1.0,12.0,None,Samoyed,0.984086,Sunday
2025,881906580714921986,Rey,Male,2017-07-03 16:04:48,2017-07-03 00:00:00,16:04,Twitter for iPhone,This is Rey. He's a Benebop Cumberfloof. 12/10 dangerously pettable https://t.co/503CgWbhxQ,https://pbs.twimg.com/media/DD0pWm9XcAAeSBL.jpg,1,0,0,1.0,12.0,None,Weimaraner,0.291539,Monday
1959,865718153858494464,Boomer,Male,2017-05-19 23:57:46,2017-05-19 00:00:00,23:57,Twitter for iPhone,"Meet Boomer. He's just checking pup on you. Hopes you had a good day. If not, he hopes he made it better. 13/10 extremely good boy https://t.co/pozUoHLkGg",https://pbs.twimg.com/media/DAOmEZiXYAAcv2S.jpg,1,26292,5881,1.0,13.0,None,golden_retriever,0.673664,Friday
1957,865006731092295680,Nelly,Male,2017-05-18 00:50:50,2017-05-18 00:00:00,00:50,Twitter for iPhone,This is Nelly. He really hopes you like his Hawaiian shirt. He already tore the tags off. 13/10 h*ck of a puppurchase https://t.co/LbkG5CiM7o,https://pbs.twimg.com/media/DAEfCFXUIAA1uqj.jpg,1,28758,8070,1.0,13.0,None,Pembroke,0.989882,Thursday
1956,864873206498414592,Dogwithnoname,Unknown,2017-05-17 16:00:15,2017-05-17 00:00:00,16:00,Twitter for iPhone,We only rate dogs. Please don't send in Jesus. We're trying to remain professional and legitimate. Thank you... 14/10 https://t.co/wr3xsjeCIR,https://pbs.twimg.com/media/DAClmHkXcAA1kSv.jpg,2,33239,9194,1.0,14.0,None,NaN,0.0,Wednesday
1955,864279568663928832,Meatball,Male,2017-05-16 00:41:21,2017-05-16 00:00:00,00:41,Twitter for iPhone,This is Meatball. He doing what's known in the industry as a mid-strut mlem. H*ckin fancy boy. 12/10 I'd do anything for Meatball https://t.co/S2HdmFFPck,https://pbs.twimg.com/media/C_6JrWZVwAAHhCD.jpg,1,15018,3214,1.0,12.0,None,bull_mastiff,0.668613,Tuesday
1954,864197398364647424,Paisley,Female,2017-05-15 19:14:50,2017-05-15 00:00:00,19:14,Twitter for iPhone,This is Paisley. She ate a flower just to prove she could. Savage af. 13/10 would pet so well https://t.co/cPq9fYvkzr,https://pbs.twimg.com/media/C_4-8iPV0AA1Twg.jpg,4,31035,9429,1.0,13.0,None,golden_retriever,0.945905,Monday
1953,863907417377173506,Albus,Male,2017-05-15 00:02:33,2017-05-15 00:00:00,00:02,Twitter for iPhone,This is Albus. He's quite impressive at hide and seek. Knows he's been found this time. 13/10 usually elusive as h*ck https://t.co/ht47njyZ64,https://pbs.twimg.com/media/C_03NPeUQAAgrMl.jpg,1,0,0,1.0,13.0,None,NaN,0.0,Monday
1952,863553081350529029,Neptune,Male,2017-05-14 00:34:33,2017-05-14 00:00:00,00:34,Twitter for iPhone,This is Neptune. He's a backpup vocalist for the Dixie Chicks. 13/10 (vid by @AmiWinehouse) https://t.co/tordvmaaop,https://pbs.twimg.com/ext_tw_video_thumb/863553036815355904/pu/img/B6Dos-XOD8l82tK7.jpg,1,0,0,1.0,13.0,None,Eskimo_dog,0.41333,Sunday
1951,863432100342583297,Belle,Female,2017-05-13 16:33:49,2017-05-13 00:00:00,16:33,Twitter for iPhone,This is Belle. She's never been more pupset. Encountered the worst imaginable type of zone. 12/10 would do anything to cheer pup https://t.co/fGQUzR8w3H,https://pbs.twimg.com/media/C_uG6eAUAAAvMvR.jpg,1,0,0,1.0,12.0,None,Staffordshire_bullterrier,0.690517,Saturday
1949,863062471531167744,Quinn,Female,2017-05-12 16:05:02,2017-05-12 00:00:00,16:05,Twitter for iPhone,"Say hello to Quinn. She's quite the goofball. Not even a year old. Confirmed 13/10 but she really needs your help 

https://t.co/MOBkQnyHib https://t.co/EsOB4rLEKt",https://pbs.twimg.com/media/C_o2vKCUwAAgtOp.jpg,2,8820,2620,1.0,13.0,None,French_bulldog,0.935804,Friday
1958,865359393868664832,Sammy,Female,2017-05-19 00:12:11,2017-05-19 00:00:00,00:12,Twitter for iPhone,This is Sammy. Her tongue ejects without warning sometimes. It's a serious condition. Needs a hefty dose from a BlepiPen. 13/10 https://t.co/g20EmqK7vc,https://pbs.twimg.com/media/DAJfxqGVoAAnvQt.jpg,2,27190,5258,1.0,13.0,None,Chesapeake_Bay_retriever,0.832435,Friday
2026,882045870035918850,Koko,Female,2017-07-04 01:18:17,2017-07-04 00:00:00,01:18,Twitter for iPhone,"This is Koko. Her owner, inspired by Barney, recently built a cart for her to use during walks if she got tired. 13/10 rest easy Koko https://t.co/zeDpnsKX7w",https://pbs.twimg.com/media/DD2oCl2WAAEI_4a.jpg,1,0,0,1.0,13.0,None,golden_retriever,0.00694063,Tuesday
2028,882627270321602560,Stanley,Male,2017-07-05 15:48:34,2017-07-05 00:00:00,15:48,Twitter for iPhone,This is Stanley. He has his first swim lesson today. Doggle straps adjusted. Ready to go. 13/10 Phelps is nervous (IG: stanleythe_corgi) https://t.co/Nx52PGwH94,https://pbs.twimg.com/media/DD-40X3WAAAJPU5.jpg,1,28110,6210,1.0,13.0,None,Pembroke,0.542982,Wednesday
4025,863079547188785154,Dogwithnoname,Male,2017-05-12 17:12:53,2017-05-12 00:00:00,17:12,Twitter for iPhone,"Ladies and gentlemen... I found Pipsy. He may have changed his name to Pablo, but he never changed his love for the sea. Pupgraded to 14/10 https://t.co/lVU5GyNFen",https://pbs.twimg.com/media/C_pGRInUwAAmTY_.jpg,1,0,0,1.0,14.0,None,Lakeland_terrier,0.275242,Friday
2027,882268110199369728,Alfy,Male,2017-07-04 16:01:23,2017-07-04 00:00:00,16:01,Twitter for iPhone,This is Alfy. You're witnessing his first watermelon experience. I think it was a success. 13/10 happy 4th Alfy 🇺🇸 https://t.co/fYP5RlutfA,https://pbs.twimg.com/media/DD5yKdPW0AArzX8.jpg,1,45346,11834,1.0,13.0,None,golden_retriever,0.762211,Tuesday
2057,888804989199671297,Zeke,Male,2017-07-22 16:56:37,2017-07-22 00:00:00,16:56,Twitter for iPhone,This is Zeke. He has a new stick. Very proud of it. Would like you to throw it for him without taking it. 13/10 would do my best https://t.co/HTQ77yNQ5K,https://pbs.twimg.com/media/DFWra-3VYAA2piG.jpg,1,0,0,1.0,13.0,None,golden_retriever,0.46976,Saturday
2056,888554962724278272,Ralphus,Male,2017-07-22 00:23:06,2017-07-22 00:00:00,00:23,Twitter for iPhone,This is Ralphus. He's powering up. Attempting maximum borkdrive. 13/10 inspirational af https://t.co/YnYAFCTTiK,https://pbs.twimg.com/media/DFTH_O-UQAACu20.jpg,3,20098,3668,1.0,13.0,None,Siberian_husky,0.700377,Saturday
2055,888202515573088257,Dogwithnoname,Female,2017-07-21 01:02:36,2017-07-21 00:00:00,01:02,Twitter for iPhone,RT @dog_rates: This is Canela. She attempted some fancy porch pics. They were unsuccessful. 13/10 someone help her https://t.co/cLyzpcUcMX,https://pbs.twimg.com/media/DFDw2tyUQAAAFke.jpg,2,0,0,1.0,13.0,None,Pembroke,0.809197,Friday
2054,888078434458587136,Gerald,Male,2017-07-20 16:49:33,2017-07-20 00:00:00,16:49,Twitter for iPhone,This is Gerald. He was just told he didn't get the job he interviewed for. A h*ckin injustice. 12/10 didn't want the job anyway https://t.co/DK7iDPfuRX,https://pbs.twimg.com/media/DFMWn56WsAAkA7B.jpg,1,21955,3584,1.0,12.0,None,French_bulldog,0.995026,Thursday
