Year	Day	DepDelay	ArrDelay	TotalDelay
1993	Wednesday	6.253652343083382	6.18743847912898	12.441090822212363
1994	Friday	7.858431703889056	7.354033802099836	15.212465505988892
1994	Monday	6.111636960575171	5.263077576154884	11.374714536730055
1994	Saturday	5.54515991074208	3.1383468665175154	8.683506777259595
1994	Sunday	6.145340493691841	4.286022611063714	10.431363104755555
1994	Thursday	7.8301250564932765	7.648937926405837	15.479062982899112
1994	Tuesday	5.438983398071599	4.738548604915077	10.177532002986677
1994	Wednesday	7.129729678725578	6.977115566590911	14.106845245316489
1995	Friday	9.651748196824316	8.863045043394028	18.514793240218346
1995	Monday	7.117924055837885	5.906843725618371	13.024767781456255
1995	Saturday	7.800422159105058	5.32216804041712	13.122590199522179
1995	Sunday	8.050250561884518	5.907227751879383	13.9574783137639
1995	Thursday	9.052371801275546	8.47153286398553	17.523904665261078
1995	Tuesday	7.28963968822259	6.379010004130024	13.668649692352615
1995	Wednesday	8.608189779870079	8.100156484233228	16.708346264103305
1996	Friday	12.582918108833296	12.95050630172051	25.533424410553806
1996	Monday	9.280421864751304	9.118075371956644	18.398497236707946
1996	Saturday	8.856162251960427	6.863831552985972	15.719993804946398
1996	Sunday	9.39000570968005	8.074567315468808	17.46457302514886
1996	Thursday	11.020153629911865	11.634484627709181	22.654638257621045
1996	Tuesday	8.868161393009734	9.092066182520567	17.9602275755303
1996	Wednesday	9.428530067727909	9.685440019883423	19.11397008761133
1997	Friday	10.772820849645376	10.68570805511999	21.458528904765366
1997	Monday	6.871020857620696	6.050116191603703	12.921137049224399
1997	Saturday	7.634875780563694	5.4134026879230985	13.048278468486792
1997	Sunday	8.792222309541295	7.34330803187929	16.135530341420584
1997	Thursday	9.19723440529953	9.288328539635852	18.48556294493538
1997	Tuesday	6.186042216631452	5.550390550335016	11.736432766966468
1997	Wednesday	7.862739495369544	7.902140469933924	15.764879965303468
1998	Friday	11.092293777419549	10.093757466125124	21.186051243544675
1998	Monday	8.590255794586728	7.318786991963894	15.909042786550621
1998	Saturday	7.131671546890758	3.567344877536646	10.699016424427404
1998	Sunday	9.253851149749618	6.94857810566959	16.202429255419208
1998	Thursday	10.064049899340183	9.59767622579348	19.66172612513366
1998	Tuesday	8.187729547385409	7.4800033615519865	15.667732908937396
1998	Wednesday	8.244767197423448	7.597522465589436	15.842289663012885
1999	Friday	11.829244987310286	11.39360610319619	23.222851090506474
1999	Monday	9.108519590065402	7.9750208838450725	17.083540473910475
1999	Saturday	8.215079777017298	5.3465601018143	13.561639878831599
1999	Sunday	9.833906596346404	7.956409214582738	17.790315810929144
1999	Thursday	10.125437558751495	10.020869809884958	20.146307368636453
1999	Tuesday	7.359920088406334	6.621104087266919	13.981024175673252
1999	Wednesday	8.342723702205308	8.003610117471673	16.346333819676982
2000	Friday	15.293500075071318	15.520909864371152	30.81440993944247
2000	Monday	10.178849738965592	9.204499370827252	19.383349109792846
2000	Saturday	9.246961885472288	6.52065304118333	15.767614926655618
2000	Sunday	12.430440639325218	11.285020270000786	23.715460909326005
2000	Thursday	13.091899257164489	13.263061043880695	26.354960301045182
2000	Tuesday	8.288672127084924	7.565823786407156	15.85449591349208
2000	Wednesday	9.723138077720453	9.54950746369436	19.27264554141481
2001	Friday	10.963411454284053	9.205863496855466	20.16927495113952
2001	Monday	7.181752550045562	4.295033951615274	11.476786501660836
2001	Saturday	7.737895144133638	3.7062032825865465	11.444098426720185
2001	Sunday	8.795183206286964	5.488968136795352	14.284151343082316
2001	Thursday	9.156282441920682	7.641548540941553	16.797830982862237
2001	Tuesday	6.052606125673884	3.5068412990307203	9.559447424704604
2001	Wednesday	6.893079298321942	4.662767918109361	11.555847216431303
2002	Friday	7.23173962936995	5.435336689328827	12.667076318698777
2002	Monday	5.720767867736904	3.531650708711328	9.252418576448232
2002	Saturday	4.14071749497202	0.0751709213417138	4.215888416313734
2002	Sunday	5.797122811561102	2.777748695787535	8.574871507348636
2002	Thursday	6.479862483247429	4.889263522568957	11.369126005816387
2002	Tuesday	4.47470421991751	2.5372130190164826	7.011917238933993
2002	Wednesday	4.496437126776485	2.7024657512538726	7.198902878030357
2003	Friday	6.509724011323814	5.523517585048474	12.033241596372289
2003	Monday	5.514524887167231	3.960253231483594	9.474778118650825
2003	Saturday	3.8523112399986026	0.4903205438564091	4.342631783855012
2003	Sunday	6.076951278253503	3.9573663567152444	10.034317634968748
2003	Thursday	5.9213865030806065	5.1404288358931085	11.061815338973716
2003	Tuesday	4.087740638199848	2.4604429766584714	6.548183614858319
2003	Wednesday	4.4433514232621	3.2084646084973394	7.65181603175944
2004	Friday	8.945335390396997	7.9785583775070466	16.923893767904044
2004	Monday	8.957124329272945	7.797879103832363	16.75500343310531
2004	Saturday	5.780889474413777	2.6493830388366035	8.43027251325038
2004	Sunday	8.291694972038245	6.281598845450094	14.573293817488338
2004	Thursday	8.761728412893286	7.938058303844395	16.69978671673768
2004	Tuesday	6.567052383024533	5.510747070124595	12.07779945314913
2004	Wednesday	7.410902341198412	6.823174149969507	14.234076491167919
2005	Friday	10.553217638250132	9.51446834700771	20.067685985257842
2005	Monday	9.11800731573077	7.860760504795165	16.978767820525935
2005	Saturday	6.522568617457742	3.30107183028373	9.823640447741472
2005	Sunday	8.646468982543631	6.454012459152424	15.100481441696054
2005	Thursday	10.145769758944436	9.672331873660491	19.81810163260493
2005	Tuesday	6.8451649456093335	5.367869107677755	12.213034053287089
2005	Wednesday	8.39858607184623	7.556945632637684	15.955531704483914
2006	Friday	13.05216189490139	12.320713764785758	25.372875659687146
2006	Monday	10.302815791624027	8.84253901796519	19.145354809589218
2006	Saturday	8.264994455168088	5.169125834404131	13.434120289572219
2006	Sunday	10.17879581705082	8.139274978287188	18.31807079533801
2006	Thursday	11.767976445947903	11.575170427529772	23.343146873477675
2006	Tuesday	7.676704695288711	6.19516278298006	13.871867478268772
2006	Wednesday	8.87057272281765	7.977178534852351	16.84775125767
2007	Friday	13.536222794986555	13.067675000697863	26.603897795684418
2007	Monday	11.865883613993091	10.513502556550229	22.37938617054332
2007	Saturday	8.965287136887769	5.846600031017031	14.8118871679048
2007	Sunday	11.949764439393284	10.32957740663109	22.279341846024373
2007	Thursday	12.840757895130421	12.685980155261941	25.52673805039236
2007	Tuesday	9.357213853615066	8.263684434009868	17.620898287624932
2007	Wednesday	10.641331658884127	9.962943847767281	20.60427550665141
2008	Friday	12.101108961295388	10.953440079613667	23.054549040909055
2008	Monday	10.222610789315283	8.210850494863875	18.43346128417916
2008	Saturday	8.605271943758963	5.789666410427927	14.39493835418689
2008	Sunday	11.52319827805302	9.495886006775251	21.01908428482827
2008	Thursday	9.739436939830233	8.41159915807781	18.15103609790804
2008	Tuesday	8.916445657619544	7.481207604036612	16.397653261656156
2008	Wednesday	8.233873322877693	6.522017315719349	14.755890638597043
